Year,Country,Latitude,Longitude,Admin
2015,,12.94983194,77.5677306,2
2015,,19.07934311,84.64220829,-999
2015,,31.63129928,74.88776935,-999
2015,,31.21926233,75.76872253,2
2015,,14.75474149,75.86491537,1
2015,MEXICO,18.52318514,-95.45398636,1
2015,,17.66231249,-101.5881392,2
2015,,17.06149274,-96.74227613,-999
2015,,17.11370832,-96.7483695,-999
2015,,22.00188992,-104.8224277,1
2015,,22.0023795,-99.00348436,-999
2015,,19.93443108,-105.251226,2
2015,,27.47752925,-99.54579333,-999
2015,,22.89399695,-109.9288804,-999
2015,,19.50074626,-90.58549366,-999
2015,PERU,-3.55406725,-80.44288388,-999
2015,,-5.179063256,-80.65273239,2
2015,MARSHALL ISLANDS,7.065644377,171.27422,1
2015,FIJI,-17.76559274,178.0429516,0
2015,ARUBA,12.50826404,-69.99476413,0
2015,COSTA RICA,9.959234617,-84.1016669,-999
2015,COSTA RICA,10.47724626,-85.40739165,1
2015,COSTA RICA,9.991124068,-83.03681377,-999
2015,COSTA RICA,9.975167605,-84.84024597,-999
2015,VENEZUELA,3.650088107,-66.08471436,1
2015,VENEZUELA,8.588275335,-71.16720212,2
2015,CUBA,20.87959133,-76.25941025,2
2015,SPAIN,38.97065124,-0.183694638,-999
2015,PHILIPPINES,8.355494999,125.7318325,1
2015,PHILIPPINES,18.55786999,120.8724796,-999
2015,PHILIPPINES,7.205964409,122.2216558,2
2015,PHILIPPINES,6.220351611,124.9221934,1
2015,GUATEMALA,14.65539151,-90.60148447,2
2015,GUATEMALA,14.19341157,-90.41066768,1
2015,GUATEMALA,14.85100938,-91.51996986,2
2015,GUATEMALA,16.89062814,-89.8780643,1
2015,SENEGAL,12.56577692,-12.1692276,-999
2015,FRENCH GUIANA,4.972598313,-52.73200259,2
2015,THAILAND,15.32220512,100.9713901,0
2015,PUERTO RICO,18.23712065,-66.4457494,0
2015,USA,32.94436421,-86.60645094,1
2015,USA,66.04787432,-152.1456643,1
2015,USA,34.34079759,-111.9190738,1
2015,USA,34.70678181,-92.04348783,1
2015,USA,36.50496801,-119.2100707,1
2015,USA,39.32094084,-105.4712256,1
2015,USA,41.67610304,-72.35155463,1
2015,USA,27.61489015,-81.18069559,1
2015,USA,32.6720436,-83.18907541,1
2015,USA,19.59697037,-155.5637176,1
2015,USA,43.50900699,-114.2152495,1
2015,USA,40.19197297,-89.25280858,1
2015,USA,40.19121094,-86.11387681,1
2015,USA,42.01424498,-93.35329812,1
2015,USA,38.48180115,-98.32881086,1
2015,USA,37.42352792,-84.98620435,1
2015,USA,44.99585667,-69.09660491,1
2015,USA,39.55389532,-76.91599713,1
2015,USA,42.54342503,-71.50976395,1
2015,USA,43.8291466,-84.73873385,1
2015,USA,46.27815958,-94.50978069,1
2015,USA,33.52738524,-89.70328628,1
2015,USA,38.35695573,-92.59971167,1
2015,USA,46.84054526,-109.6172401,1
